DATE,POPTHM
1992-01-01,255331
1992-02-01,255576
1992-03-01,255848
1992-04-01,256139
1992-05-01,256437
1992-06-01,256742
1992-07-01,257063
1992-08-01,257390
1992-09-01,257704
1992-10-01,258004
1992-11-01,258280
1992-12-01,258546
1993-01-01,258799
1993-02-01,259036
1993-03-01,259283
1993-04-01,259547
1993-05-01,259822
1993-06-01,260109
1993-07-01,260411
1993-08-01,260717
1993-09-01,261015
1993-10-01,261294
1993-11-01,261550
1993-12-01,261796
1994-01-01,262021
1994-02-01,262237
1994-03-01,262491
1994-04-01,262754
1994-05-01,263014
1994-06-01,263294
1994-07-01,263580
1994-08-01,263871
1994-09-01,264159
1994-10-01,264430
1994-11-01,264681
1994-12-01,264924
1995-01-01,265157
1995-02-01,265383
1995-03-01,265625
1995-04-01,265877
1995-05-01,266134
1995-06-01,266414
1995-07-01,266700
1995-08-01,266998
1995-09-01,267304
1995-10-01,267585
1995-11-01,267829
1995-12-01,268047
1996-01-01,268258
1996-02-01,268480
1996-03-01,268724
1996-04-01,268980
1996-05-01,269247
1996-06-01,269527
1996-07-01,269822
1996-08-01,270130
1996-09-01,270433
1996-10-01,270730
1996-11-01,271002
1996-12-01,271243
1997-01-01,271472
1997-02-01,271703
1997-03-01,271952
1997-04-01,272213
1997-05-01,272482
1997-06-01,272767
1997-07-01,273074
1997-08-01,273395
1997-09-01,273703
1997-10-01,273989
1997-11-01,274249
1997-12-01,274499
1998-01-01,274732
1998-02-01,274943
1998-03-01,275175
1998-04-01,275434
1998-05-01,275700
1998-06-01,275976
1998-07-01,276266
1998-08-01,276566
1998-09-01,276859
1998-10-01,277140
1998-11-01,277402
1998-12-01,277658
1999-01-01,277891
1999-02-01,278095
1999-03-01,278324
1999-04-01,278584
1999-05-01,278859
1999-06-01,279148
1999-07-01,279448
1999-08-01,279752
1999-09-01,280053
1999-10-01,280337
1999-11-01,280594
1999-12-01,280846
2000-01-01,281083
2000-02-01,281299
2000-03-01,281531
2000-04-01,281763
2000-05-01,281996
2000-06-01,282247
2000-07-01,282504
2000-08-01,282769
2000-09-01,283033
2000-10-01,283285
2000-11-01,283523
2000-12-01,283748
2001-01-01,283960
2001-02-01,284166
2001-03-01,284380
2001-04-01,284602
2001-05-01,284834
2001-06-01,285076
2001-07-01,285324
2001-08-01,285584
2001-09-01,285842
2001-10-01,286086
2001-11-01,286315
2001-12-01,286533
2002-01-01,286739
2002-02-01,286935
2002-03-01,287131
2002-04-01,287343
2002-05-01,287571
2002-06-01,287808
2002-07-01,288051
2002-08-01,288303
2002-09-01,288554
2002-10-01,288794
2002-11-01,289012
2002-12-01,289214
2003-01-01,289412
2003-02-01,289606
2003-03-01,289809
2003-04-01,290024
2003-05-01,290250
2003-06-01,290484
2003-07-01,290726
2003-08-01,290974
2003-09-01,291222
2003-10-01,291463
2003-11-01,291677
2003-12-01,291868
2004-01-01,292046
2004-02-01,292230
2004-03-01,292434
2004-04-01,292651
2004-05-01,292872
2004-06-01,293103
2004-07-01,293350
2004-08-01,293603
2004-09-01,293857
2004-10-01,294104
2004-11-01,294337
2004-12-01,294561
2005-01-01,294768
2005-02-01,294955
2005-03-01,295149
2005-04-01,295359
2005-05-01,295582
2005-06-01,295824
2005-07-01,296077
2005-08-01,296338
2005-09-01,296606
2005-10-01,296857
2005-11-01,297089
2005-12-01,297311
2006-01-01,297526
2006-02-01,297734
2006-03-01,297950
2006-04-01,298170
2006-05-01,298401
2006-06-01,298653
2006-07-01,298910
2006-08-01,299178
2006-09-01,299452
2006-10-01,299710
2006-11-01,299950
2006-12-01,300178
2007-01-01,300398
2007-02-01,300608
