DATE,CPIAUCSL_NBD19920101
2011-04-01,162.03398
2011-05-01,162.54953
2011-06-01,162.54953
2011-07-01,162.97542
2011-08-01,163.48952
2011-09-01,163.84454
2011-10-01,163.95517
2011-11-01,164.25813
2011-12-01,164.29718
2012-01-01,164.74476
2012-02-01,165.09689
2012-03-01,165.44252
2012-04-01,165.71728
2012-05-01,165.37455
2012-06-01,165.23789
2012-07-01,165.28561
2012-08-01,166.24584
2012-09-01,167.03905
2012-10-01,167.48952
2012-11-01,167.20824
2012-12-01,167.18800
2013-01-01,167.51916
2013-02-01,168.42878
2013-03-01,167.95517
2013-04-01,167.60448
2013-05-01,167.67390
2013-06-01,168.07303
2013-07-01,168.40202
2013-08-01,168.80405
2013-09-01,168.86768
2013-10-01,168.95806
2013-11-01,169.26970
2013-12-01,169.71728
2014-01-01,170.12871
2014-02-01,170.31598
2014-03-01,170.66377
2014-04-01,170.98192
2014-05-01,171.30730
2014-06-01,171.53362
2014-07-01,171.72668
2014-08-01,171.69920
2014-09-01,171.71150
2014-10-01,171.67751
2014-11-01,171.35430
2014-12-01,170.82574
2015-01-01,169.73753
2015-02-01,170.16775
2015-03-01,170.62617
2015-04-01,170.80405
2015-05-01,171.36732
2015-06-01,171.84165
2015-07-01,172.11424
2015-08-01,172.11352
2015-09-01,171.72668
2015-10-01,171.89660
2015-11-01,172.10195
2015-12-01,171.91685
2016-01-01,171.96457
2016-02-01,171.73825
2016-03-01,172.08243
2016-04-01,172.69342
2016-05-01,173.13087
2016-06-01,173.63991
2016-07-01,173.61605
2016-08-01,173.96602
2016-09-01,174.30803
2016-10-01,174.72234
2016-11-01,174.97686
2016-12-01,175.49675
2017-01-01,176.22343
2017-02-01,176.44830
2017-03-01,176.22632
2017-04-01,176.46999
2017-05-01,176.37455
2017-06-01,176.55748
2017-07-01,176.66522
2017-08-01,177.37093
2017-09-01,178.19595
2017-10-01,178.28633
2017-11-01,178.83803
2017-12-01,179.20969
2018-01-01,179.91034
2018-02-01,180.38684
2018-03-01,180.34201
2018-04-01,180.73536
2018-05-01,181.22921
2018-06-01,181.61678
2018-07-01,181.83803
2018-08-01,182.14389
2018-09-01,182.40130
2018-10-01,182.77440
2018-11-01,182.69125
2018-12-01,182.68474
2019-01-01,182.61027
2019-02-01,183.06652
2019-03-01,183.72740
2019-04-01,184.34056
2019-05-01,184.50253
2019-06-01,184.67245
2019-07-01,185.16775
2019-08-01,185.31743
2019-09-01,185.53362
2019-10-01,185.99349
2019-11-01,186.42372
2019-12-01,186.87202
2020-01-01,187.14389
2020-02-01,187.31020
2020-03-01,186.51699
2020-04-01,185.03398
2020-05-01,184.93709
2020-06-01,185.98265
2020-07-01,187.07375
2020-08-01,187.76645
